produto_id,titulo,categoria,marca,preco,faixa_preco,avaliacao,estoque,status_estoque
1,Essence Mascara Lash Princess,beauty,Essence,9.99,Ate R$10,2.56,99,In Stock
2,Eyeshadow Palette with Mirror,beauty,Glamour Beauty,19.99,R$10-50,2.86,34,In Stock
3,Powder Canister,beauty,Velvet Touch,14.99,R$10-50,4.64,89,In Stock
4,Red Lipstick,beauty,Chic Cosmetics,12.99,R$10-50,4.36,91,In Stock
5,Red Nail Polish,beauty,Nail Couture,8.99,Ate R$10,4.32,79,In Stock
6,Calvin Klein CK One,fragrances,Calvin Klein,49.99,R$10-50,4.37,29,In Stock
7,Chanel Coco Noir Eau De,fragrances,Chanel,129.99,R$50-200,4.26,58,In Stock
8,Dior J'adore,fragrances,Dior,89.99,R$50-200,3.8,98,In Stock
9,Dolce Shine Eau de,fragrances,Dolce & Gabbana,69.99,R$50-200,3.96,4,Low Stock
10,Gucci Bloom Eau de,fragrances,Gucci,79.99,R$50-200,2.74,91,In Stock
11,Annibale Colombo Bed,furniture,Annibale Colombo,1899.99,Acima de R$1000,4.77,88,In Stock
12,Annibale Colombo Sofa,furniture,Annibale Colombo,2499.99,Acima de R$1000,3.92,60,In Stock
13,Bedside Table African Cherry,furniture,Furniture Co.,299.99,R$200-1000,2.87,64,In Stock
14,Knoll Saarinen Executive Conference Chair,furniture,Knoll,499.99,R$200-1000,4.88,26,In Stock
15,Wooden Bathroom Sink With Mirror,furniture,Bath Trends,799.99,R$200-1000,3.59,7,Low Stock
16,Apple,groceries,Sem marca,1.99,Ate R$10,4.19,8,In Stock
17,Beef Steak,groceries,Sem marca,12.99,R$10-50,4.47,86,In Stock
18,Cat Food,groceries,Sem marca,8.99,Ate R$10,3.13,46,In Stock
19,Chicken Meat,groceries,Sem marca,9.99,Ate R$10,3.19,97,In Stock
20,Cooking Oil,groceries,Sem marca,4.99,Ate R$10,4.8,10,In Stock
21,Cucumber,groceries,Sem marca,1.49,Ate R$10,4.07,84,In Stock
22,Dog Food,groceries,Sem marca,10.99,R$10-50,4.55,71,In Stock
23,Eggs,groceries,Sem marca,2.99,Ate R$10,2.53,9,In Stock
24,Fish Steak,groceries,Sem marca,14.99,R$10-50,3.78,74,In Stock
25,Green Bell Pepper,groceries,Sem marca,1.29,Ate R$10,3.25,33,In Stock
26,Green Chili Pepper,groceries,Sem marca,0.99,Ate R$10,3.66,3,Low Stock
27,Honey Jar,groceries,Sem marca,6.99,Ate R$10,3.97,34,In Stock
28,Ice Cream,groceries,Sem marca,5.49,Ate R$10,3.39,27,In Stock
29,Juice,groceries,Sem marca,3.99,Ate R$10,3.94,50,In Stock
30,Kiwi,groceries,Sem marca,2.49,Ate R$10,4.93,99,In Stock
31,Lemon,groceries,Sem marca,0.79,Ate R$10,3.53,31,In Stock
32,Milk,groceries,Sem marca,3.49,Ate R$10,2.61,27,In Stock
33,Mulberry,groceries,Sem marca,4.99,Ate R$10,4.95,99,In Stock
34,Nescafe Coffee,groceries,Sem marca,7.99,Ate R$10,4.82,57,In Stock
35,Potatoes,groceries,Sem marca,2.29,Ate R$10,4.81,13,In Stock
36,Protein Powder,groceries,Sem marca,19.99,R$10-50,4.18,80,In Stock
37,Red Onions,groceries,Sem marca,1.99,Ate R$10,4.2,82,In Stock
38,Rice,groceries,Sem marca,5.99,Ate R$10,3.18,59,In Stock
39,Soft Drinks,groceries,Sem marca,1.99,Ate R$10,4.75,53,In Stock
40,Strawberry,groceries,Sem marca,3.99,Ate R$10,3.08,46,In Stock
41,Tissue Paper Box,groceries,Sem marca,2.49,Ate R$10,2.69,86,In Stock
42,Water,groceries,Sem marca,0.99,Ate R$10,4.96,53,In Stock
43,Decoration Swing,home-decoration,Sem marca,59.99,R$50-200,3.16,47,In Stock
44,Family Tree Photo Frame,home-decoration,Sem marca,29.99,R$10-50,4.53,77,In Stock
45,House Showpiece Plant,home-decoration,Sem marca,39.99,R$10-50,4.67,28,In Stock
46,Plant Pot,home-decoration,Sem marca,14.99,R$10-50,3.01,59,In Stock
47,Table Lamp,home-decoration,Sem marca,49.99,R$10-50,3.55,9,In Stock
48,Bamboo Spatula,kitchen-accessories,Sem marca,7.99,Ate R$10,3.27,37,In Stock
49,Black Aluminium Cup,kitchen-accessories,Sem marca,5.99,Ate R$10,4.46,75,In Stock
50,Black Whisk,kitchen-accessories,Sem marca,9.99,Ate R$10,3.9,73,In Stock
51,Boxed Blender,kitchen-accessories,Sem marca,39.99,R$10-50,4.56,9,In Stock
52,Carbon Steel Wok,kitchen-accessories,Sem marca,29.99,R$10-50,4.05,40,In Stock
53,Chopping Board,kitchen-accessories,Sem marca,12.99,R$10-50,3.7,14,In Stock
54,Citrus Squeezer Yellow,kitchen-accessories,Sem marca,8.99,Ate R$10,4.63,22,In Stock
55,Egg Slicer,kitchen-accessories,Sem marca,6.99,Ate R$10,3.09,40,In Stock
56,Electric Stove,kitchen-accessories,Sem marca,49.99,R$10-50,4.11,21,In Stock
57,Fine Mesh Strainer,kitchen-accessories,Sem marca,9.99,Ate R$10,3.04,85,In Stock
58,Fork,kitchen-accessories,Sem marca,3.99,Ate R$10,3.11,7,In Stock
59,Glass,kitchen-accessories,Sem marca,4.99,Ate R$10,4.02,46,In Stock
60,Grater Black,kitchen-accessories,Sem marca,10.99,R$10-50,3.21,84,In Stock
61,Hand Blender,kitchen-accessories,Sem marca,34.99,R$10-50,3.86,84,In Stock
62,Ice Cube Tray,kitchen-accessories,Sem marca,5.99,Ate R$10,4.71,13,In Stock
63,Kitchen Sieve,kitchen-accessories,Sem marca,7.99,Ate R$10,3.09,68,In Stock
64,Knife,kitchen-accessories,Sem marca,14.99,R$10-50,3.26,7,Low Stock
65,Lunch Box,kitchen-accessories,Sem marca,12.99,R$10-50,4.93,94,In Stock
66,Microwave Oven,kitchen-accessories,Sem marca,89.99,R$50-200,4.82,59,In Stock
67,Mug Tree Stand,kitchen-accessories,Sem marca,15.99,R$10-50,2.64,88,In Stock
68,Pan,kitchen-accessories,Sem marca,24.99,R$10-50,2.79,90,In Stock
69,Plate,kitchen-accessories,Sem marca,3.99,Ate R$10,3.65,66,In Stock
70,Red Tongs,kitchen-accessories,Sem marca,6.99,Ate R$10,4.42,82,In Stock
71,Silver Pot With Glass Cap,kitchen-accessories,Sem marca,39.99,R$10-50,3.22,40,In Stock
72,Slotted Turner,kitchen-accessories,Sem marca,8.99,Ate R$10,3.4,88,In Stock
